species,matrix,active_ingredient,category_type,cause,dose_amount,dose_unit,frequency_per_day,duration_days,reason,mrl_limit,mrl_unit,withdrawal_period_days
sheep,meat,Ketoprofen,NSAID,Poor hygiene,42.71,g,1,5,Wounds,51.97,ug/kg,14
cattle,milk,Flunixin Meglumine,NSAID,Parasitic infestation,18.25,g,3,7,Wounds,21.76,ug/kg,14
sheep,meat,Meloxicam,NSAID,Mycoplasma infection,2.6,g,2,1,Skin lesions,45.72,ug/kg,13
goat,meat,Meloxicam,NSAID,Secondary bacterial infection,30.49,ml,1,4,Wounds,51.1,ug/kg,8
poultry,egg,Meloxicam,NSAID,Protozoal infection,9.96,g,2,1,Lameness,47.7,ug/kg,2
pig,meat,Ketoprofen,NSAID,Parasitic infestation,5.0,tablet,2,14,Drop in egg production,46.77,ug/kg,10
poultry,meat,Meloxicam,NSAID,Mycoplasma infection,2.99,litre,1,14,Reduced production,46.92,ug/kg,9
cattle,meat,Ketoprofen,NSAID,Viral infection,953.52,mg,1,2,Skin lesions,51.69,ug/kg,5
poultry,egg,Meloxicam,NSAID,Secondary bacterial infection,22.5,g,1,14,Poor weight gain,50.74,ug/kg,1
pig,meat,Ketoprofen,NSAID,Parasitic infestation,1.31,kg,2,7,Fever,47.28,ug/kg,11
poultry,meat,Meloxicam,NSAID,Mycoplasma infection,39.85,g,2,14,Reduced production,50.64,ug/kg,11
poultry,meat,Meloxicam,NSAID,Fungal infection,8.08,litre,2,3,Fever,46.96,ug/kg,14
sheep,meat,Ketoprofen,NSAID,Fungal infection,36.36,ml,1,5,Reduced production,51.53,ug/kg,8
cattle,milk,Meloxicam,NSAID,Bacterial infection,23.41,g,3,2,Cough,15.74,ug/kg,7
sheep,meat,Meloxicam,NSAID,Protozoal infection,30.66,g,3,1,Drop in egg production,48.57,ug/kg,9
goat,meat,Meloxicam,NSAID,Poor hygiene,38.34,g,3,5,Fever,51.02,ug/kg,13
goat,meat,Meloxicam,NSAID,Nutritional deficiency,258.81,mg,2,3,Diarrhea,49.33,ug/kg,7
sheep,meat,Meloxicam,NSAID,Bacterial infection,2.0,tablet,1,5,Lameness,51.97,ug/kg,12
cattle,milk,Flunixin Meglumine,NSAID,Secondary bacterial infection,21.54,ml,2,3,Diarrhea,20.15,ug/kg,8
goat,meat,Ketoprofen,NSAID,Protozoal infection,1.0,tablet,1,2,Fever,51.49,ug/kg,6
cattle,meat,Meloxicam,NSAID,Secondary bacterial infection,2.0,tablet,1,2,Respiratory distress,50.63,ug/kg,5
sheep,meat,Ketoprofen,NSAID,Nutritional deficiency,46.81,ml,3,10,Diarrhea,52.46,ug/kg,6
sheep,meat,Ketoprofen,NSAID,Bacterial infection,6.93,ml,3,3,Skin lesions,50.53,ug/kg,2
cattle,meat,Flunixin Meglumine,NSAID,Nutritional deficiency,710.03,mg,2,5,Lameness,48.51,ug/kg,10
pig,meat,Meloxicam,NSAID,Poor hygiene,2.48,kg,2,14,Cough,53.52,ug/kg,12
goat,meat,Meloxicam,NSAID,Secondary bacterial infection,21.27,g,2,10,Poor weight gain,49.93,ug/kg,5
sheep,meat,Meloxicam,NSAID,Protozoal infection,10.59,g,3,4,Poor weight gain,48.89,ug/kg,12
goat,meat,Ketoprofen,NSAID,Viral infection,27.3,ml,1,3,Skin lesions,45.73,ug/kg,1
sheep,meat,Ketoprofen,NSAID,Contaminated feed/water,43.54,g,2,5,Lameness,52.98,ug/kg,10
sheep,meat,Meloxicam,NSAID,Secondary bacterial infection,57.55,mg,1,14,Lameness,46.27,ug/kg,11
pig,meat,Meloxicam,NSAID,Secondary bacterial infection,553.35,mg,1,3,Diarrhea,53.45,ug/kg,7
cattle,meat,Ketoprofen,NSAID,Viral infection,45.33,g,2,3,Fever,52.88,ug/kg,7
pig,meat,Ketoprofen,NSAID,Bacterial infection,2.79,kg,1,14,Drop in egg production,45.5,ug/kg,10
goat,meat,Meloxicam,NSAID,Protozoal infection,4.81,g,3,3,Fever,51.38,ug/kg,11
cattle,milk,Flunixin Meglumine,NSAID,Viral infection,10.66,ml,1,1,Lameness,18.4,ug/kg,12
goat,meat,Ketoprofen,NSAID,Fungal infection,10.0,tablet,2,1,Lameness,51.84,ug/kg,12
goat,meat,Meloxicam,NSAID,Poor hygiene,25.7,ml,2,14,Reduced production,50.52,ug/kg,4
cattle,meat,Meloxicam,NSAID,Fungal infection,907.65,mg,2,2,Poor weight gain,46.35,ug/kg,13
pig,meat,Meloxicam,NSAID,Nutritional deficiency,835.32,mg,2,3,Skin lesions,53.01,ug/kg,9
sheep,meat,Ketoprofen,NSAID,Mycoplasma infection,14.75,g,2,2,Poor weight gain,53.25,ug/kg,2
sheep,meat,Ketoprofen,NSAID,Poor hygiene,35.39,g,2,3,Cough,46.62,ug/kg,14
pig,meat,Ketoprofen,NSAID,Secondary bacterial infection,36.24,g,1,7,Respiratory distress,48.04,ug/kg,11
cattle,milk,Ketoprofen,NSAID,Nutritional deficiency,23.8,g,2,4,Fever,21.57,ug/kg,12
cattle,milk,Ketoprofen,NSAID,Contaminated feed/water,18.95,ml,1,4,Poor weight gain,19.56,ug/kg,4
goat,meat,Vitamin B-Complex,vitamin,Contaminated feed/water,1.68,ml,1,7,Fever,0.0,ug/kg,3
goat,meat,Electrolytes,vitamin,Parasitic infestation,35.68,g,3,14,Poor weight gain,0.0,ug/kg,0
goat,meat,Vitamin B-Complex,vitamin,Viral infection,5.0,tablet,3,21,Poor weight gain,0.0,ug/kg,0
sheep,meat,Electrolytes,vitamin,Poor hygiene,12.7,ml,1,5,Diarrhea,0.0,ug/kg,0
sheep,meat,Vitamin B-Complex,vitamin,Fungal infection,931.04,mg,1,14,Reduced production,0.0,ug/kg,3
goat,meat,Electrolytes,vitamin,Contaminated feed/water,16.2,g,3,3,Poor weight gain,0.0,ug/kg,2
cattle,meat,Electrolytes,vitamin,Mycoplasma infection,21.15,ml,2,3,Cough,0.0,ug/kg,2
cattle,meat,Vitamin E,vitamin,Contaminated feed/water,14.47,g,3,14,Cough,0.0,ug/kg,2
goat,meat,Electrolytes,vitamin,Mycoplasma infection,807.96,mg,1,21,Diarrhea,0.0,ug/kg,2
sheep,meat,Electrolytes,vitamin,Nutritional deficiency,5.0,tablet,2,21,Wounds,0.0,ug/kg,0
poultry,egg,Electrolytes,vitamin,Protozoal infection,4.71,kg,1,5,Poor weight gain,0.0,ug/kg,2
pig,meat,Vitamin E,vitamin,Parasitic infestation,28.22,ml,3,3,Drop in egg production,0.0,ug/kg,2
poultry,egg,Electrolytes,vitamin,Viral infection,9.77,litre,2,21,Drop in egg production,0.0,ug/kg,3
sheep,meat,Vitamin B-Complex,vitamin,Bacterial infection,502.82,mg,3,7,Diarrhea,0.0,ug/kg,1
cattle,meat,Vitamin B-Complex,vitamin,Bacterial infection,0.5,tablet,2,7,Lameness,0.0,ug/kg,2
poultry,egg,Electrolytes,vitamin,Viral infection,2.0,sachet,1,21,Poor weight gain,0.0,ug/kg,1
pig,meat,Vitamin E,vitamin,Fungal infection,43.59,ml,1,3,Diarrhea,0.0,ug/kg,0
pig,meat,Vitamin E,vitamin,Fungal infection,12.52,g,2,14,Diarrhea,0.0,ug/kg,1
pig,meat,Vitamin E,vitamin,Parasitic infestation,2.68,kg,1,14,Skin lesions,0.0,ug/kg,2
sheep,meat,Vitamin B-Complex,vitamin,Mycoplasma infection,317.17,mg,1,3,Reduced production,0.0,ug/kg,3
pig,meat,Vitamin B-Complex,vitamin,Bacterial infection,664.72,mg,1,21,Poor weight gain,0.0,ug/kg,3
pig,meat,Vitamin E,vitamin,Mycoplasma infection,26.66,ml,2,7,Drop in egg production,0.0,ug/kg,2
sheep,meat,Electrolytes,vitamin,Viral infection,48.55,ml,2,14,Wounds,0.0,ug/kg,3
cattle,milk,Vitamin B-Complex,vitamin,Bacterial infection,24.3,g,1,14,Cough,0.0,ug/kg,3
sheep,meat,Vitamin B-Complex,vitamin,Parasitic infestation,25.9,ml,2,7,Fever,0.0,ug/kg,1
poultry,egg,Vitamin premix,vitamin,Bacterial infection,1.08,g,2,5,Wounds,0.0,ug/kg,2
sheep,meat,Vitamin B-Complex,vitamin,Mycoplasma infection,2.0,tablet,2,3,Drop in egg production,0.0,ug/kg,1
cattle,meat,Calcium-Borogluconate,vitamin,Nutritional deficiency,2.0,tablet,2,14,Poor weight gain,0.0,ug/kg,0
goat,meat,Electrolytes,vitamin,Parasitic infestation,726.06,mg,2,3,Lameness,0.0,ug/kg,3
goat,meat,Electrolytes,vitamin,Viral infection,35.59,ml,1,3,Lameness,0.0,ug/kg,1
goat,meat,Electrolytes,vitamin,Bacterial infection,2.0,tablet,1,3,Reduced production,0.0,ug/kg,2
goat,meat,Electrolytes,vitamin,Mycoplasma infection,33.48,ml,2,7,Fever,0.0,ug/kg,2
cattle,meat,Electrolytes,vitamin,Nutritional deficiency,1.0,tablet,1,21,Poor weight gain,0.0,ug/kg,0
poultry,meat,Electrolytes,vitamin,Protozoal infection,0.79,kg,2,14,Skin lesions,0.0,ug/kg,0
sheep,meat,Vitamin B-Complex,vitamin,Contaminated feed/water,2.0,tablet,2,21,Wounds,0.0,ug/kg,1
cattle,meat,Calcium-Borogluconate,vitamin,Secondary bacterial infection,29.14,g,3,21,Lameness,0.0,ug/kg,1
cattle,meat,Calcium-Borogluconate,vitamin,Fungal infection,5.0,tablet,2,14,Fever,0.0,ug/kg,0
sheep,meat,Electrolytes,vitamin,Mycoplasma infection,26.57,ml,2,7,Reduced production,0.0,ug/kg,1
pig,meat,Electrolytes,vitamin,Secondary bacterial infection,2.58,kg,3,7,Fever,0.0,ug/kg,1
sheep,meat,Vitamin B-Complex,vitamin,Contaminated feed/water,728.1,mg,2,14,Drop in egg production,0.0,ug/kg,2
sheep,meat,Electrolytes,vitamin,Protozoal infection,868.85,mg,1,7,Reduced production,0.0,ug/kg,3
pig,meat,Vitamin E,vitamin,Contaminated feed/water,37.72,ml,1,14,Wounds,0.0,ug/kg,0
cattle,milk,Vitamin B-Complex,vitamin,Parasitic infestation,26.12,g,3,7,Poor weight gain,0.0,ug/kg,2
goat,meat,Electrolytes,vitamin,Viral infection,465.44,mg,1,14,Fever,0.0,ug/kg,1
poultry,egg,Electrolytes,vitamin,Nutritional deficiency,0.29,kg,1,14,Fever,0.0,ug/kg,3
goat,meat,Vitamin B-Complex,vitamin,Mycoplasma infection,30.46,g,2,7,Drop in egg production,0.0,ug/kg,0
poultry,meat,Electrolytes,vitamin,Poor hygiene,4.91,kg,1,3,Diarrhea,0.0,ug/kg,1
cattle,milk,Electrolytes,vitamin,Viral infection,44.7,g,3,14,Reduced production,0.0,ug/kg,1
cattle,milk,Calcium-Borogluconate,vitamin,Parasitic infestation,16.06,ml,2,21,Respiratory distress,0.0,ug/kg,3
poultry,egg,Vitamin premix,vitamin,Fungal infection,2.57,litre,1,3,Lameness,0.0,ug/kg,2
poultry,meat,Vitamin premix,vitamin,Bacterial infection,1.0,sachet,1,7,Lameness,0.0,ug/kg,1
cattle,milk,Vitamin E,vitamin,Contaminated feed/water,0.5,tablet,1,14,Cough,0.0,ug/kg,1
pig,meat,Electrolytes,vitamin,Secondary bacterial infection,20.65,ml,2,14,Skin lesions,0.0,ug/kg,3
poultry,meat,Electrolytes,vitamin,Fungal infection,7.91,litre,2,3,Poor weight gain,0.0,ug/kg,1
poultry,meat,Electrolytes,vitamin,Parasitic infestation,25.01,g,1,5,Lameness,0.0,ug/kg,2
sheep,meat,Electrolytes,vitamin,Mycoplasma infection,42.66,g,2,21,Reduced production,0.0,ug/kg,3
pig,meat,Electrolytes,vitamin,Viral infection,39.84,ml,3,7,Diarrhea,0.0,ug/kg,2
sheep,meat,Vitamin B-Complex,vitamin,Fungal infection,4.14,g,2,7,Drop in egg production,0.0,ug/kg,1
poultry,egg,Vitamin premix,vitamin,Viral infection,9.84,litre,1,14,Skin lesions,0.0,ug/kg,3
sheep,meat,Electrolytes,vitamin,Protozoal infection,16.29,ml,2,7,Reduced production,0.0,ug/kg,2
pig,meat,Electrolytes,vitamin,Fungal infection,1.0,tablet,3,5,Reduced production,0.0,ug/kg,1
cattle,milk,Vitamin B-Complex,vitamin,Fungal infection,484.16,mg,1,3,Reduced production,0.0,ug/kg,0
goat,meat,Electrolytes,vitamin,Nutritional deficiency,10.0,tablet,3,3,Skin lesions,0.0,ug/kg,2
sheep,meat,Electrolytes,vitamin,Fungal infection,20.75,g,3,7,Diarrhea,0.0,ug/kg,0
poultry,egg,Vitamin premix,vitamin,Fungal infection,2.0,sachet,1,21,Skin lesions,0.0,ug/kg,3
goat,meat,Vitamin B-Complex,vitamin,Poor hygiene,35.91,g,2,3,Fever,0.0,ug/kg,3
poultry,egg,Electrolytes,vitamin,Secondary bacterial infection,5.2,litre,1,14,Fever,0.0,ug/kg,0
cattle,meat,Calcium-Borogluconate,vitamin,Viral infection,41.47,g,3,5,Diarrhea,0.0,ug/kg,3
poultry,egg,Vitamin premix,vitamin,Protozoal infection,2.54,litre,2,21,Drop in egg production,0.0,ug/kg,2
goat,meat,Vitamin B-Complex,vitamin,Protozoal infection,2.0,tablet,1,7,Lameness,0.0,ug/kg,0
sheep,meat,Electrolytes,vitamin,Viral infection,2.26,ml,1,21,Drop in egg production,0.0,ug/kg,3
goat,meat,Electrolytes,vitamin,Secondary bacterial infection,42.47,mg,2,5,Drop in egg production,0.0,ug/kg,3
poultry,egg,Vitamin premix,vitamin,Poor hygiene,7.64,litre,2,5,Cough,0.0,ug/kg,2
goat,meat,Vitamin B-Complex,vitamin,Bacterial infection,32.87,ml,1,7,Lameness,0.0,ug/kg,3
goat,meat,Electrolytes,vitamin,Contaminated feed/water,236.87,mg,2,3,Skin lesions,0.0,ug/kg,2
cattle,milk,Vitamin E,vitamin,Poor hygiene,47.96,ml,2,14,Reduced production,0.0,ug/kg,3
poultry,egg,Electrolytes,vitamin,Poor hygiene,35.66,g,1,3,Drop in egg production,0.0,ug/kg,2
poultry,egg,Electrolytes,vitamin,Protozoal infection,2.15,kg,2,14,Drop in egg production,0.0,ug/kg,3
poultry,egg,Vitamin premix,vitamin,Parasitic infestation,1.0,sachet,2,21,Wounds,0.0,ug/kg,2
goat,meat,Electrolytes,vitamin,Secondary bacterial infection,18.89,ml,2,5,Poor weight gain,0.0,ug/kg,3
pig,meat,Electrolytes,vitamin,Viral infection,292.53,mg,2,21,Diarrhea,0.0,ug/kg,2
poultry,egg,Electrolytes,vitamin,Nutritional deficiency,10.0,sachet,3,14,Poor weight gain,0.0,ug/kg,1
poultry,egg,Electrolytes,vitamin,Contaminated feed/water,1.0,sachet,1,5,Reduced production,0.0,ug/kg,3
goat,meat,Vitamin B-Complex,vitamin,Nutritional deficiency,653.71,mg,2,14,Fever,0.0,ug/kg,0
cattle,milk,Calcium-Borogluconate,vitamin,Secondary bacterial infection,7.69,g,1,3,Skin lesions,0.0,ug/kg,1
pig,meat,Vitamin B-Complex,vitamin,Parasitic infestation,4.45,kg,1,21,Wounds,0.0,ug/kg,3
goat,meat,Electrolytes,vitamin,Protozoal infection,41.81,ml,3,14,Skin lesions,0.0,ug/kg,2
poultry,meat,Vitamin premix,vitamin,Bacterial infection,3.87,kg,1,3,Poor weight gain,0.0,ug/kg,2
goat,meat,Vitamin B-Complex,vitamin,Secondary bacterial infection,656.6,mg,2,5,Wounds,0.0,ug/kg,0
pig,meat,Electrolytes,vitamin,Nutritional deficiency,808.84,mg,1,21,Poor weight gain,0.0,ug/kg,1
cattle,milk,Vitamin B-Complex,vitamin,Protozoal infection,40.07,g,2,3,Skin lesions,0.0,ug/kg,2
goat,meat,Electrolytes,vitamin,Bacterial infection,1.26,g,1,14,Drop in egg production,0.0,ug/kg,0
poultry,meat,Electrolytes,vitamin,Contaminated feed/water,43.3,g,1,5,Wounds,0.0,ug/kg,2
sheep,meat,Electrolytes,vitamin,Parasitic infestation,0.5,tablet,3,21,Wounds,0.0,ug/kg,1
pig,meat,Vitamin B-Complex,vitamin,Bacterial infection,24.51,ml,1,21,Respiratory distress,0.0,ug/kg,2
cattle,meat,Vitamin B-Complex,vitamin,Viral infection,300.16,mg,2,3,Wounds,0.0,ug/kg,2
poultry,egg,Electrolytes,vitamin,Viral infection,4.51,kg,2,7,Wounds,0.0,ug/kg,1
goat,meat,Electrolytes,vitamin,Mycoplasma infection,385.25,mg,1,21,Poor weight gain,0.0,ug/kg,1
goat,meat,Vitamin B-Complex,vitamin,Viral infection,5.0,tablet,2,3,Respiratory distress,0.0,ug/kg,3
cattle,milk,Vitamin E,vitamin,Parasitic infestation,24.61,ml,2,3,Poor weight gain,0.0,ug/kg,1
goat,meat,Vitamin B-Complex,vitamin,Fungal infection,2.0,tablet,3,14,Wounds,0.0,ug/kg,3
pig,meat,Vitamin E,vitamin,Bacterial infection,14.32,g,1,14,Respiratory distress,0.0,ug/kg,1
goat,meat,Vitamin B-Complex,vitamin,Parasitic infestation,31.35,g,2,21,Drop in egg production,0.0,ug/kg,3
cattle,milk,Electrolytes,vitamin,Mycoplasma infection,20.13,ml,3,3,Poor weight gain,0.0,ug/kg,1
poultry,egg,Vitamin premix,vitamin,Nutritional deficiency,4.12,litre,2,3,Drop in egg production,0.0,ug/kg,1
pig,meat,Vitamin E,vitamin,Bacterial infection,10.42,g,1,3,Respiratory distress,0.0,ug/kg,3
cattle,meat,Calcium-Borogluconate,vitamin,Secondary bacterial infection,3.19,ml,3,14,Poor weight gain,0.0,ug/kg,0
cattle,milk,Electrolytes,vitamin,Protozoal infection,10.0,tablet,3,5,Reduced production,0.0,ug/kg,3
sheep,meat,Electrolytes,vitamin,Poor hygiene,22.66,g,1,21,Wounds,0.0,ug/kg,0
sheep,meat,Electrolytes,vitamin,Poor hygiene,187.02,mg,2,5,Drop in egg production,0.0,ug/kg,1
sheep,meat,Electrolytes,vitamin,Mycoplasma infection,10.0,tablet,3,7,Poor weight gain,0.0,ug/kg,0
poultry,egg,Vitamin premix,vitamin,Contaminated feed/water,2.52,litre,3,5,Lameness,0.0,ug/kg,1
pig,meat,Vitamin B-Complex,vitamin,Nutritional deficiency,2.41,kg,2,3,Diarrhea,0.0,ug/kg,2
pig,meat,Vitamin B-Complex,vitamin,Mycoplasma infection,933.09,mg,1,7,Poor weight gain,0.0,ug/kg,3
goat,meat,Vitamin B-Complex,vitamin,Bacterial infection,18.75,ml,2,7,Drop in egg production,0.0,ug/kg,1
goat,meat,Electrolytes,vitamin,Fungal infection,20.27,ml,2,7,Diarrhea,0.0,ug/kg,3
sheep,meat,Electrolytes,vitamin,Parasitic infestation,24.22,g,1,21,Reduced production,0.0,ug/kg,3
sheep,meat,Electrolytes,vitamin,Protozoal infection,28.84,g,2,3,Skin lesions,0.0,ug/kg,0
poultry,egg,Vitamin premix,vitamin,Bacterial infection,22.09,g,3,21,Skin lesions,0.0,ug/kg,0
goat,meat,Vitamin B-Complex,vitamin,Bacterial infection,2.0,tablet,1,7,Reduced production,0.0,ug/kg,1
goat,meat,Vitamin B-Complex,vitamin,Secondary bacterial infection,13.82,g,1,5,Wounds,0.0,ug/kg,0
pig,meat,Vitamin B-Complex,vitamin,Nutritional deficiency,9.38,g,2,14,Fever,0.0,ug/kg,3
sheep,meat,Electrolytes,vitamin,Secondary bacterial infection,20.92,g,1,21,Lameness,0.0,ug/kg,2
poultry,egg,Electrolytes,vitamin,Protozoal infection,0.91,litre,1,7,Poor weight gain,0.0,ug/kg,1
sheep,meat,Vitamin B-Complex,vitamin,Secondary bacterial infection,25.9,g,2,14,Respiratory distress,0.0,ug/kg,1
sheep,meat,Electrolytes,vitamin,Secondary bacterial infection,915.75,mg,3,14,Drop in egg production,0.0,ug/kg,0
sheep,meat,Vitamin B-Complex,vitamin,Protozoal infection,17.76,g,3,5,Lameness,0.0,ug/kg,0
sheep,meat,Electrolytes,vitamin,Bacterial infection,0.5,tablet,2,21,Poor weight gain,0.0,ug/kg,2
goat,meat,Electrolytes,vitamin,Fungal infection,44.09,ml,2,7,Lameness,0.0,ug/kg,1
sheep,meat,Electrolytes,vitamin,Mycoplasma infection,25.1,ml,1,21,Respiratory distress,0.0,ug/kg,1
sheep,meat,Electrolytes,vitamin,Poor hygiene,0.5,tablet,2,21,Diarrhea,0.0,ug/kg,3
goat,meat,Electrolytes,vitamin,Parasitic infestation,37.62,ml,1,14,Reduced production,0.0,ug/kg,1
sheep,meat,Electrolytes,vitamin,Contaminated feed/water,9.78,ml,3,21,Wounds,0.0,ug/kg,3
poultry,meat,Vitamin premix,vitamin,Nutritional deficiency,5.0,sachet,3,7,Skin lesions,0.0,ug/kg,3
poultry,meat,Electrolytes,vitamin,Protozoal infection,10.0,sachet,1,21,Reduced production,0.0,ug/kg,0
pig,meat,Vitamin B-Complex,vitamin,Fungal infection,5.0,tablet,1,21,Cough,0.0,ug/kg,2
sheep,meat,Electrolytes,vitamin,Contaminated feed/water,931.01,mg,2,21,Diarrhea,0.0,ug/kg,2
sheep,meat,Electrolytes,vitamin,Fungal infection,259.93,mg,2,7,Fever,0.0,ug/kg,3
sheep,meat,Vitamin B-Complex,vitamin,Mycoplasma infection,2.0,tablet,2,7,Reduced production,0.0,ug/kg,1
cattle,milk,Vitamin B-Complex,vitamin,Mycoplasma infection,12.35,ml,2,14,Diarrhea,0.0,ug/kg,1
poultry,egg,Vitamin premix,vitamin,Protozoal infection,1.0,sachet,2,3,Poor weight gain,0.0,ug/kg,0
pig,meat,Vitamin B-Complex,vitamin,Poor hygiene,44.7,g,2,5,Respiratory distress,0.0,ug/kg,0
cattle,meat,Calcium-Borogluconate,vitamin,Bacterial infection,10.0,tablet,1,7,Respiratory distress,0.0,ug/kg,3
cattle,milk,Calcium-Borogluconate,vitamin,Nutritional deficiency,0.5,tablet,2,14,Diarrhea,0.0,ug/kg,3
goat,meat,Electrolytes,vitamin,Nutritional deficiency,45.41,ml,2,3,Diarrhea,0.0,ug/kg,3
pig,meat,Vitamin E,vitamin,Contaminated feed/water,10.0,tablet,2,5,Drop in egg production,0.0,ug/kg,1
goat,meat,Vitamin B-Complex,vitamin,Secondary bacterial infection,95.7,mg,3,14,Fever,0.0,ug/kg,1
sheep,meat,Vitamin B-Complex,vitamin,Poor hygiene,32.74,ml,1,21,Diarrhea,0.0,ug/kg,0
cattle,meat,Electrolytes,vitamin,Nutritional deficiency,873.95,mg,1,7,Respiratory distress,0.0,ug/kg,0
pig,meat,Vitamin E,vitamin,Poor hygiene,10.0,tablet,1,21,Diarrhea,0.0,ug/kg,1
poultry,meat,Electrolytes,vitamin,Protozoal infection,9.86,litre,1,14,Drop in egg production,0.0,ug/kg,3
pig,meat,Vitamin B-Complex,vitamin,Nutritional deficiency,44.86,ml,1,21,Reduced production,0.0,ug/kg,2
goat,meat,Electrolytes,vitamin,Protozoal infection,21.5,ml,1,14,Diarrhea,0.0,ug/kg,0
cattle,meat,Calcium-Borogluconate,vitamin,Contaminated feed/water,10.0,tablet,2,5,Cough,0.0,ug/kg,2
cattle,milk,Electrolytes,vitamin,Poor hygiene,40.45,ml,2,3,Drop in egg production,0.0,ug/kg,0
poultry,meat,Electrolytes,vitamin,Mycoplasma infection,1.22,kg,1,7,Drop in egg production,0.0,ug/kg,3
sheep,meat,Electrolytes,vitamin,Mycoplasma infection,0.5,tablet,2,7,Lameness,0.0,ug/kg,0
pig,meat,Vitamin B-Complex,vitamin,Nutritional deficiency,27.74,g,2,3,Poor weight gain,0.0,ug/kg,0
sheep,meat,Vitamin B-Complex,vitamin,Bacterial infection,488.68,mg,2,3,Wounds,0.0,ug/kg,3
pig,meat,Vitamin E,vitamin,Nutritional deficiency,40.9,ml,2,14,Skin lesions,0.0,ug/kg,2
poultry,egg,Electrolytes,vitamin,Bacterial infection,6.24,g,2,3,Fever,0.0,ug/kg,0
sheep,meat,Electrolytes,vitamin,Bacterial infection,13.26,g,1,3,Diarrhea,0.0,ug/kg,0
cattle,meat,Vitamin E,vitamin,Nutritional deficiency,2.0,tablet,2,5,Cough,0.0,ug/kg,0
goat,meat,Electrolytes,vitamin,Protozoal infection,28.57,ml,1,14,Respiratory distress,0.0,ug/kg,0
poultry,egg,Vitamin premix,vitamin,Secondary bacterial infection,1.86,kg,2,3,Drop in egg production,0.0,ug/kg,1
cattle,meat,Calcium-Borogluconate,vitamin,Secondary bacterial infection,0.5,tablet,3,21,Drop in egg production,0.0,ug/kg,0
pig,meat,Vitamin B-Complex,vitamin,Mycoplasma infection,3.97,g,1,21,Reduced production,0.0,ug/kg,1
goat,meat,Vitamin B-Complex,vitamin,Bacterial infection,25.1,ml,2,21,Reduced production,0.0,ug/kg,1
poultry,egg,Electrolytes,vitamin,Secondary bacterial infection,2.12,litre,3,3,Poor weight gain,0.0,ug/kg,3
pig,meat,Electrolytes,vitamin,Contaminated feed/water,4.96,kg,1,7,Drop in egg production,0.0,ug/kg,3
pig,meat,Vitamin B-Complex,vitamin,Bacterial infection,5.0,tablet,3,3,Skin lesions,0.0,ug/kg,2
pig,meat,Vitamin B-Complex,vitamin,Protozoal infection,42.12,g,1,14,Reduced production,0.0,ug/kg,0
sheep,meat,Vitamin B-Complex,vitamin,Mycoplasma infection,33.03,ml,1,21,Respiratory distress,0.0,ug/kg,0
goat,meat,Vitamin B-Complex,vitamin,Secondary bacterial infection,1.0,tablet,1,7,Drop in egg production,0.0,ug/kg,1
sheep,meat,Electrolytes,vitamin,Secondary bacterial infection,37.71,g,1,7,Lameness,0.0,ug/kg,1
goat,meat,Electrolytes,vitamin,Viral infection,5.34,ml,2,7,Fever,0.0,ug/kg,2
poultry,egg,Vitamin premix,vitamin,Fungal infection,38.89,g,2,14,Poor weight gain,0.0,ug/kg,3
sheep,meat,Electrolytes,vitamin,Mycoplasma infection,8.44,ml,1,5,Drop in egg production,0.0,ug/kg,1
sheep,meat,Vitamin B-Complex,vitamin,Mycoplasma infection,24.53,ml,1,14,Lameness,0.0,ug/kg,1
pig,meat,Electrolytes,vitamin,Viral infection,10.81,g,1,3,Drop in egg production,0.0,ug/kg,2
pig,meat,Electrolytes,vitamin,Poor hygiene,49.34,g,2,21,Reduced production,0.0,ug/kg,3
sheep,meat,Electrolytes,vitamin,Secondary bacterial infection,14.01,ml,1,3,Cough,0.0,ug/kg,0
sheep,meat,Vitamin B-Complex,vitamin,Secondary bacterial infection,6.46,g,1,5,Drop in egg production,0.0,ug/kg,2
goat,meat,Electrolytes,vitamin,Contaminated feed/water,127.21,mg,2,7,Respiratory distress,0.0,ug/kg,2
pig,meat,Vitamin E,vitamin,Poor hygiene,10.0,tablet,3,21,Wounds,0.0,ug/kg,0
poultry,meat,Electrolytes,vitamin,Parasitic infestation,4.29,kg,2,21,Fever,0.0,ug/kg,3
cattle,meat,Vitamin E,vitamin,Fungal infection,22.59,ml,1,3,Cough,0.0,ug/kg,2
cattle,milk,Vitamin B-Complex,vitamin,Nutritional deficiency,162.8,mg,2,21,Diarrhea,0.0,ug/kg,2
sheep,meat,Electrolytes,vitamin,Protozoal infection,9.5,g,1,21,Reduced production,0.0,ug/kg,3
poultry,egg,Electrolytes,vitamin,Secondary bacterial infection,34.7,g,3,5,Wounds,0.0,ug/kg,2
pig,meat,Electrolytes,vitamin,Parasitic infestation,2.0,tablet,1,3,Poor weight gain,0.0,ug/kg,0
cattle,meat,Vitamin E,vitamin,Nutritional deficiency,37.76,g,2,5,Skin lesions,0.0,ug/kg,0
cattle,meat,Vitamin B-Complex,vitamin,Poor hygiene,2.0,tablet,3,21,Diarrhea,0.0,ug/kg,2
cattle,milk,Vitamin E,vitamin,Poor hygiene,34.67,ml,3,5,Reduced production,0.0,ug/kg,3
poultry,meat,Vitamin premix,vitamin,Mycoplasma infection,21.19,g,2,3,Wounds,0.0,ug/kg,1
